,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,licence,gitlab_id,gitlab_url
0,mujoco,google-deepmind/mujoco,[],physics-simulators,https://pyrobosim.readthedocs.io/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-04-09 13:19:54,2025-04-09 13:18:51,2900.0,290.0,939.0,108.0,283.0,103.0,1550.0,9198.0,2025-02-27 22:42:47,3.3.0,585082.0,13930.0,35.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,3895.0,3895.0,85.0,37,True,1,,,,
1,Gym,openai/gym,[],ML,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8159.0,1058.0,1459.0,111.0,1726.0,35754.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,64323.0,64323.0,384.0,33,True,1,,,,
2,Carla,carla-simulator/carla,[],automotive,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-04-09 12:17:20,2025-04-04 11:13:25,6599.0,25.0,3817.0,260.0,1854.0,1112.0,4768.0,12281.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,986.0,986.0,181.0,33,True,1,,,,
3,airsim,microsoft/AirSim,[],aerial-simulators,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2024-06-22 22:24:25,2022-07-21 06:16:09,3560.0,,4376.0,595.0,901.0,665.0,2727.0,16992.0,2022-07-18 20:11:48,1.8.1,616402.0,6773.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",391.0,391.0,243.0,32,True,1,https://microsoft.github.io/AirSim/,,,
4,Drake,RobotLocomotion/drake,[],physics-simulators,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-04-09 11:44:24,2025-04-09 00:13:06,33471.0,346.0,1223.0,168.0,16435.0,684.0,5751.0,3530.0,2025-03-14 16:31:05,1.39.0,115506.0,1004.0,74.0,Model-based design and verification for robotics.,,,266.0,32,True,2,,,,
5,O3DE,o3de/o3de,[],general-purpose-3D-engine,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-04-09 03:08:08,2025-04-06 16:13:44,26291.0,113.0,2248.0,141.0,10652.0,3407.0,4253.0,8164.0,2025-02-25 18:30:10,2409.2,9432.0,209.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,297.0,29,True,1,,,,
6,Webots,cyberbotics/webots,[],robotic-simulators,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-04-08 23:16:00,2025-03-20 06:46:13,15697.0,19.0,1710.0,73.0,4617.0,210.0,1634.0,3525.0,2025-02-04 12:36:33,R2025a,1598134.0,21028.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1,,,,
7,Bullet Physics SDK,bulletphysics/bullet3,[],physics-simulators,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-01-29 23:10:14,2025-01-29 23:09:22,9403.0,3.0,2836.0,411.0,1916.0,226.0,1790.0,13223.0,2022-04-24 23:54:27,3.25,5558.0,50.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,308.0,27,True,3,,,,
8,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],api-intergration,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-04-09 08:01:24,2025-04-09 07:32:56,872.0,198.0,1542.0,44.0,589.0,201.0,1025.0,3338.0,2025-03-05 23:37:20,2.0.2,,,13.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,110.0,25,True,1,,,,
9,JSBSim,JSBSim-Team/jsbsim,[],physics-simulators,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-04-08 16:09:55,2025-04-08 16:09:55,5939.0,22.0,469.0,55.0,388.0,39.0,305.0,1530.0,2025-03-22 12:12:22,1.2.2,26368.0,439.0,19.0,An open source flight dynamics & control software library.,,,69.0,24,True,3,,,,
