,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,EULA,https://godotengine.org/,https://github.com/godotengine/godot,2014-01-04 16:05:36,2025-04-11 18:34:14,2025-04-11 18:29:14,73385.0,2435.0,21732.0,1504.0,48013.0,11699.0,44496.0,96123.0,2025-03-26 09:19:36,4.4.1-stable,9556984.0,77072.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3310.0,44,True,1.0,,,
1,mujoco,google-deepmind/mujoco,[],physics,Apache-2.0,https://mujoco.org/,https://github.com/google-deepmind/mujoco,2021-08-27 12:25:48,2025-04-11 15:20:03,2025-04-11 15:19:11,2914.0,293.0,942.0,108.0,283.0,105.0,1551.0,9227.0,2025-04-10 16:52:51,3.3.1,587728.0,13993.0,36.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,3935.0,3935.0,86.0,37,True,1.0,,,
2,Gym,openai/gym,[],ml,MIT,https://www.gymlibrary.dev/,https://github.com/openai/gym,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8162.0,1058.0,1459.0,111.0,1726.0,35777.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,64535.0,64535.0,384.0,33,True,1.0,,,
3,Carla,carla-simulator/carla,[],domain,MIT,https://carla.org/,https://github.com/carla-simulator/carla,2017-10-24 09:06:23,2025-04-11 17:18:44,2025-04-11 10:31:06,6601.0,25.0,3820.0,260.0,1857.0,1112.0,4774.0,12297.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,997.0,997.0,181.0,33,True,1.0,,,
4,airsim,microsoft/AirSim,,eol,mit,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,2017-02-14 00:52:29,2024-06-22 22:24:25,2022-07-21 06:16:09,3560.0,,4375.0,595.0,901.0,665.0,2727.0,17001.0,2022-07-18 20:11:48,1.8.1,617192.0,6782.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",395.0,395.0,243.0,32,True,1.0,https://microsoft.github.io/AirSim/,,
5,Drake,RobotLocomotion/drake,[],physics,BSD-3-Clause,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,2014-01-26 16:11:05,2025-04-13 14:43:27,2025-04-12 17:43:45,33481.0,340.0,1223.0,168.0,16445.0,684.0,5756.0,3533.0,2025-04-12 18:27:53,1.40.0,115971.0,1008.0,75.0,Model-based design and verification for robotics.,,,266.0,32,True,1.0,,,
6,Genesis,Genesis-Embodied-AI/Genesis,,ml,Apache-2.0,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,2023-10-31 03:33:11,2025-04-13 10:45:21,2025-04-13 10:45:21,432.0,223.0,2160.0,232.0,277.0,133.0,448.0,24734.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,66.0,66.0,47.0,29,True,1.0,,,
7,O3DE,o3de/o3de,[],game,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-13 05:31:02,2025-04-13 05:31:02,26303.0,120.0,2251.0,141.0,10663.0,3408.0,4257.0,8175.0,2025-02-25 18:30:10,2409.2,9438.0,209.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,298.0,29,True,2.0,,,
8,O3DE for Robotics,o3de/o3de,[],robotics,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-13 05:31:02,2025-04-13 05:31:02,26303.0,120.0,2251.0,141.0,10663.0,3408.0,4257.0,8175.0,2025-02-25 18:30:10,2409.2,9438.0,209.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,298.0,29,True,1.0,,,
9,Atom,o3de/o3de,[],render,Apache-2.0 and MIT,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-13 05:31:02,2025-04-13 05:31:02,26303.0,120.0,2251.0,141.0,10663.0,3408.0,4257.0,8175.0,2025-02-25 18:30:10,2409.2,9438.0,209.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,298.0,29,True,1.0,,,
