,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,new_addition,pypi_id,pypi_url,pypi_monthly_downloads,trending,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,EULA,https://godotengine.org/,https://github.com/godotengine/godot,2014-01-04 16:05:36,2025-04-23 17:11:40,2025-04-23 17:01:28,73632.0,2403.0,21805.0,1506.0,48214.0,11714.0,44623.0,96518.0,2025-03-26 09:19:36,4.4.1-stable,9711227.0,78316.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3320.0,44,True,1.0,,,,,,,,
1,mujoco,google-deepmind/mujoco,[],physics,Apache-2.0,https://mujoco.org/,https://github.com/google-deepmind/mujoco,2021-08-27 12:25:48,2025-04-23 17:53:03,2025-04-23 17:52:14,2922.0,252.0,952.0,109.0,289.0,109.0,1554.0,9310.0,2025-04-10 16:52:51,3.3.1,595549.0,14179.0,36.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4038.0,4038.0,86.0,37,True,1.0,,,,,,,,
2,Gym,openai/gym,[],ml,MIT,https://www.gymlibrary.dev/,https://github.com/openai/gym,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8160.0,1058.0,1459.0,111.0,1726.0,35848.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,65172.0,65172.0,384.0,33,True,1.0,,,,,,,,
3,Carla,carla-simulator/carla,[],domain,MIT,https://carla.org/,https://github.com/carla-simulator/carla,2017-10-24 09:06:23,2025-04-23 18:08:28,2025-04-23 11:06:44,6602.0,19.0,3842.0,259.0,1862.0,1118.0,4789.0,12360.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1007.0,1007.0,181.0,33,True,1.0,,,,,,,,
4,airsim,microsoft/AirSim,,eol,mit,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,2017-02-14 00:52:29,2024-06-22 22:24:25,2022-07-21 06:16:09,3560.0,,4379.0,595.0,902.0,665.0,2727.0,17033.0,2022-07-18 20:11:48,1.8.1,618953.0,6801.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",401.0,401.0,243.0,32,True,1.0,https://microsoft.github.io/AirSim/,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,BSD-3-Clause,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,2014-01-26 16:11:05,2025-04-23 17:45:29,2025-04-23 02:45:55,33503.0,310.0,1225.0,168.0,16468.0,683.0,5762.0,3545.0,2025-04-12 18:27:53,1.40.0,117488.0,1021.0,75.0,Model-based design and verification for robotics.,,,266.0,32,True,1.0,,,,,,,,
6,Genesis,Genesis-Embodied-AI/Genesis,,ml,Apache-2.0,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,2023-10-31 03:33:11,2025-04-23 17:46:31,2025-04-23 17:46:31,454.0,216.0,2171.0,232.0,302.0,137.0,464.0,24823.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,70.0,70.0,48.0,29,True,1.0,,,,,,,,
7,O3DE,o3de/o3de,[],game,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-22 23:55:22,2025-04-22 18:52:50,26337.0,144.0,2254.0,143.0,10680.0,3411.0,4271.0,8199.0,2025-02-25 18:30:10,2409.2,9617.0,213.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,2.0,,,,,,,,
8,O3DE for Robotics,o3de/o3de,[],robotics,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-22 23:55:22,2025-04-22 18:52:50,26337.0,144.0,2254.0,143.0,10680.0,3411.0,4271.0,8199.0,2025-02-25 18:30:10,2409.2,9617.0,213.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,1.0,,,,,,,,
9,Atom,o3de/o3de,[],render,Apache-2.0 and MIT,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-22 23:55:22,2025-04-22 18:52:50,26337.0,144.0,2254.0,143.0,10680.0,3411.0,4271.0,8199.0,2025-02-25 18:30:10,2409.2,9617.0,213.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,1.0,,,,,,,,
