,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,new_addition,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,EULA,https://godotengine.org/,https://github.com/godotengine/godot,2014-01-04 16:05:36,2025-04-30 14:39:12.000,2025-04-30 14:18:46,73904.0,2533.0,21850.0,1504.0,48382.0,11740.0,44693.0,96736.0,2025-03-26 09:19:36,4.4.1-stable,9821570.0,79206.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3335.0,44,True,1.0,,,,,,,,,,,,
1,mujoco,google-deepmind/mujoco,[],physics,Apache-2.0,https://mujoco.org/,https://github.com/google-deepmind/mujoco,2021-08-27 12:25:48,2025-04-30 18:02:51.000,2025-04-30 18:01:41,2939.0,245.0,966.0,113.0,290.0,110.0,1556.0,9431.0,2025-04-28 22:23:42,3.3.2,601572.0,14323.0,37.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4117.0,4117.0,87.0,37,True,1.0,,,,,,,,,,,,
2,Gym,openai/gym,[],ml,MIT,https://www.gymlibrary.dev/,https://github.com/openai/gym,2016-04-27 14:59:16,2024-10-11 20:07:05.000,2023-01-30 18:15:21,1757.0,,8159.0,1057.0,1458.0,111.0,1726.0,35891.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,65605.0,65605.0,383.0,33,True,1.0,,,,,,,,,,,,
3,Carla,carla-simulator/carla,[],domain,MIT,https://carla.org/,https://github.com/carla-simulator/carla,2017-10-24 09:06:23,2025-04-30 14:57:32.000,2025-04-29 13:55:02,6605.0,19.0,3852.0,258.0,1866.0,1122.0,4796.0,12391.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1023.0,1023.0,182.0,33,True,1.0,,,,,,,,,,,,
4,airsim,microsoft/AirSim,,eol,mit,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,2017-02-14 00:52:29,2024-06-22 22:24:25.000,2022-07-21 06:16:09,3560.0,,4385.0,596.0,902.0,666.0,2727.0,17059.0,2022-07-18 20:11:48,1.8.1,620161.0,6814.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",404.0,404.0,243.0,32,True,1.0,https://microsoft.github.io/AirSim/,,,,,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,BSD-3-Clause,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,2014-01-26 16:11:05,2025-04-30 18:26:51.000,2025-04-30 17:57:02,33522.0,290.0,1229.0,168.0,16492.0,682.0,5770.0,3554.0,2025-04-12 18:27:53,1.40.0,117978.0,1025.0,75.0,Model-based design and verification for robotics.,,,266.0,32,True,1.0,,,,,,,,,,,,
6,Genesis,Genesis-Embodied-AI/Genesis,,ml,Apache-2.0,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,2023-10-31 03:33:11,2025-04-29 14:02:21.000,2025-04-29 14:02:20,468.0,226.0,2183.0,235.0,314.0,142.0,469.0,24900.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,75.0,75.0,47.0,29,True,1.0,,,,,,,,,,,,
7,O3DE,o3de/o3de,[],game,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-30 07:26:28.000,2025-04-29 00:44:38,26344.0,144.0,2253.0,143.0,10695.0,3418.0,4277.0,8214.0,2025-02-25 18:30:10,2409.2,9652.0,214.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,2.0,,,,,,,,,,,,
8,O3DE for Robotics,o3de/o3de,[],robotics,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-30 07:26:28.000,2025-04-29 00:44:38,26344.0,144.0,2253.0,143.0,10695.0,3418.0,4277.0,8214.0,2025-02-25 18:30:10,2409.2,9652.0,214.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,1.0,,,,,,,,,,,,
9,Atom,o3de/o3de,[],render,Apache-2.0 and MIT,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-04-30 07:26:28.000,2025-04-29 00:44:38,26344.0,144.0,2253.0,143.0,10695.0,3418.0,4277.0,8214.0,2025-02-25 18:30:10,2409.2,9652.0,214.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,300.0,29,True,1.0,,,,,,,,,,,,
