,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,trending,gitlab_id,gitlab_url,docs_url,update_at
0,Godot,godotengine/godot,[],game,EULA,https://godotengine.org/,https://github.com/godotengine/godot,2014-01-04 16:05:36,2025-05-14 14:49:34,2025-05-14 14:44:17,74286.0,2485.0,21946.0,1499.0,48658.0,11792.0,44816.0,97135.0,2025-03-26 09:19:36,4.4.1-stable,10030858.0,80246.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3357.0,44,True,1.0,,,,,,,,,,,,,
1,mujoco,google-deepmind/mujoco,[],physics,Apache-2.0,https://mujoco.org/,https://github.com/google-deepmind/mujoco,2021-08-27 12:25:48,2025-05-14 16:40:01,2025-05-14 16:39:24,2983.0,255.0,985.0,113.0,297.0,112.0,1558.0,9544.0,2025-04-28 22:23:42,3.3.2,611884.0,14229.0,37.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4252.0,4252.0,87.0,37,True,1.0,,,,,,,,,,,,,
2,Gym,openai/gym,[],ml,MIT,https://www.gymlibrary.dev/,https://github.com/openai/gym,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8168.0,1057.0,1459.0,111.0,1726.0,35962.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,66351.0,66351.0,383.0,33,True,1.0,,,,,,,,,,,,,
3,Carla,carla-simulator/carla,[],domain,MIT,https://carla.org/,https://github.com/carla-simulator/carla,2017-10-24 09:06:23,2025-05-14 17:44:46,2025-05-06 12:05:32,6608.0,18.0,3876.0,258.0,1877.0,1123.0,4811.0,12456.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1039.0,1039.0,182.0,33,True,1.0,,,,,,,,,,,,,
4,airsim,microsoft/AirSim,,aerial,mit,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,2017-02-14 00:52:29,2024-06-22 22:24:25,2022-07-21 06:16:09,3560.0,,4388.0,596.0,902.0,666.0,2727.0,17095.0,2022-07-18 20:11:48,1.8.1,622734.0,6768.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",410.0,410.0,243.0,32,False,1.0,https://microsoft.github.io/AirSim/,,,,,,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,BSD-3-Clause,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,2014-01-26 16:11:05,2025-05-14 17:51:28,2025-05-14 17:38:31,33578.0,295.0,1232.0,168.0,16535.0,686.0,5779.0,3570.0,2025-04-12 18:27:53,1.40.0,119210.0,1027.0,75.0,Model-based design and verification for robotics.,,,267.0,32,True,1.0,,,,,,,,,,,,,
6,Genesis,Genesis-Embodied-AI/Genesis,,ml,Apache-2.0,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,2023-10-31 03:33:11,2025-05-14 04:03:57,2025-05-13 14:39:13,494.0,231.0,2211.0,238.0,343.0,144.0,486.0,25000.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,82.0,82.0,48.0,29,True,1.0,,,,,,,,,,,,,
7,O3DE,o3de/o3de,[],game,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-05-14 17:17:47,2025-05-14 17:17:47,26359.0,140.0,2262.0,143.0,10711.0,3422.0,4280.0,8239.0,2025-02-25 18:30:10,2409.2,9681.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,2.0,,,,,,,,,,,,,
8,O3DE for Robotics,o3de/o3de,[],robotics,MIT and Apache-2,https://o3de.org/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-05-14 17:17:47,2025-05-14 17:17:47,26359.0,140.0,2262.0,143.0,10711.0,3422.0,4280.0,8239.0,2025-02-25 18:30:10,2409.2,9681.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,1.0,,,,,,,,,,,,,
9,Atom,o3de/o3de,[],render,Apache-2.0 and MIT,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,2021-04-05 06:38:18,2025-05-14 17:17:47,2025-05-14 17:17:47,26359.0,140.0,2262.0,143.0,10711.0,3422.0,4280.0,8239.0,2025-02-25 18:30:10,2409.2,9681.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,1.0,,,,,,,,,,,,,
