,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,doc_url,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,gitlab_id,gitlab_url,update_at,docs_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-05-20 21:09:07,2025-05-20 21:09:07,74451.0,2548.0,21994.0,1497.0,48809.0,11837.0,44884.0,97298.0,2025-03-26 09:19:36,4.4.1-stable,10130598.0,81044.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3366.0,45,True,1.0,1.0,,,,,,,,,,,,,
1,mujoco,google-deepmind/mujoco,[],physics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-05-20 23:04:14,2025-05-20 23:03:18,3005.0,253.0,990.0,113.0,300.0,113.0,1560.0,9598.0,2025-04-28 22:23:42,3.3.2,616760.0,14343.0,37.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4338.0,4338.0,87.0,37,True,1.0,,,,,,,,,,,,,,
2,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8173.0,1060.0,1462.0,111.0,1726.0,35994.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,66752.0,66752.0,383.0,33,True,1.0,,,,,,,,,,,,,,
3,Carla,carla-simulator/carla,[],domain,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-05-21 08:52:08,2025-05-06 12:05:32,6608.0,17.0,3889.0,258.0,1886.0,1125.0,4818.0,12480.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1051.0,1051.0,182.0,33,True,1.0,,,,,,,,,,,,,,
4,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,1.0,4392.0,594.0,903.0,667.0,2727.0,17115.0,2022-07-18 20:11:48,1.8.1,623728.0,6779.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",413.0,413.0,243.0,32,False,1.0,,https://microsoft.github.io/AirSim/,,,,,,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-05-21 10:20:26,2025-05-20 20:08:41,33596.0,302.0,1233.0,168.0,16549.0,686.0,5785.0,3578.0,2025-05-16 16:46:31,1.41.0,119898.0,1033.0,76.0,Model-based design and verification for robotics.,,,268.0,32,True,1.0,,,,,,,,,,,,,,
6,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-05-20 22:21:32,2025-05-20 22:21:32,505.0,222.0,2222.0,238.0,354.0,149.0,493.0,25073.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,88.0,88.0,49.0,29,True,1.0,,,,,,,,,,,,,,
7,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-05-20 21:50:06,2025-05-20 21:40:09,26377.0,146.0,2266.0,143.0,10724.0,3434.0,4281.0,8253.0,2025-02-25 18:30:10,2409.2,9693.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,2.0,,,,,,,,,,,,,,
8,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-05-20 21:50:06,2025-05-20 21:40:09,26377.0,146.0,2266.0,143.0,10724.0,3434.0,4281.0,8253.0,2025-02-25 18:30:10,2409.2,9693.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,1.0,,,,,,,,,,,,,,
9,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-05-20 21:50:06,2025-05-20 21:40:09,26377.0,146.0,2266.0,143.0,10724.0,3434.0,4281.0,8253.0,2025-02-25 18:30:10,2409.2,9693.0,210.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,301.0,29,True,1.0,,,,,,,,,,,,,,
10,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-05-20 23:15:47,2025-04-22 10:52:50,15703.0,11.0,1745.0,73.0,4628.0,216.0,1642.0,3591.0,2025-02-04 12:36:33,R2025a,1636275.0,21250.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,,,,,,,,,,,
11,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-05-20 23:15:47,2025-04-22 10:52:50,15703.0,11.0,1745.0,73.0,4628.0,216.0,1642.0,3591.0,2025-02-04 12:36:33,R2025a,1636285.0,21250.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,,,,,,,,,,,
12,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-05-20 22:30:49,2025-05-20 22:30:36,12933.0,71.0,984.0,155.0,2442.0,128.0,746.0,4233.0,2025-02-02 15:00:33,14.3.4,3723.0,36.0,81.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,335.0,28,True,2.0,,,,,,,,,,,,,,
13,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,1.0,2859.0,413.0,1919.0,233.0,1790.0,13367.0,2022-04-24 23:54:27,3.25,5562.0,49.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,308.0,27,True,2.0,,,,,,,,,,,,,,
14,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-05-21 09:33:13,2025-05-21 07:28:09,18148.0,298.0,481.0,114.0,250.0,100.0,218.0,2401.0,2024-07-03 06:11:30,9.0.1,8750.0,178.0,5.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,128.0,27,True,2.0,,,,,,,,,,,,,,
15,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-05-14 22:29:48,2025-05-14 22:29:22,330.0,19.0,286.0,34.0,101.0,78.0,304.0,2678.0,2025-04-11 21:54:04,0.12.3,,,31.0,Massively parallel rigidbody physics simulation on accelerator hardware.,482.0,482.0,40.0,26,True,2.0,,,,,,,,,,,,,,
16,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-05-21 10:01:53,2025-05-18 22:38:16,993.0,190.0,1714.0,45.0,648.0,244.0,1122.0,3653.0,2025-04-24 15:13:49,2.1.0,,,14.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,122.0,25,True,1.0,,,,,,,,,,,,,,
17,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-05-21 01:25:44,2025-03-04 06:54:00,7766.0,3.0,233.0,67.0,594.0,255.0,370.0,1380.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,367.0,367.0,49.0,25,True,1.0,,,,,,,,,,,,,,
18,ESMINI,esmini/esmini,,domain,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-05-19 17:54:49,2025-05-15 18:44:38,3391.0,82.0,229.0,26.0,141.0,173.0,385.0,841.0,2025-05-15 19:38:35,2.46.4,25460.0,385.0,99.0,a basic OpenSCENARIO player.,,,83.0,25,True,2.0,,,,,,,,,,,,,,
19,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-05-15 16:11:27,2025-05-15 16:11:27,2196.0,64.0,324.0,113.0,1547.0,10.0,611.0,3340.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,,
20,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-05-15 16:11:27,2025-05-15 16:11:27,2196.0,64.0,324.0,113.0,1547.0,10.0,611.0,3340.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,,
