,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-06-11 09:22:34,2025-06-11 09:20:28,75265.0,2763.0,22100.0,1498.0,49254.0,11842.0,45162.0,97963.0,2025-03-26 09:19:36,4.4.1-stable,10437154.0,82834.0,60.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3390.0,45,True,1.0,,,,,,,,,,,,,,,
1,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-06-10 22:18:09,2025-06-10 21:57:28,8997.0,499.0,3890.0,300.0,10888.0,2259.0,4627.0,40024.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24658.0,24658.0,1318.0,39,True,2.0,True,,,,,,,,,,,,,,
2,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-06-10 13:16:42,2025-06-07 22:55:12,2475.0,35.0,1032.0,56.0,865.0,65.0,463.0,9351.0,2025-03-06 15:55:39,1.1.1,,1308428.0,15.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",19514.0,19514.0,540.0,38,True,1.0,True,gymnasium,https://pypi.org/project/gymnasium,1308428.0,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-06-10 21:50:16,2025-06-10 21:49:17,3053.0,227.0,1015.0,115.0,306.0,118.0,1565.0,9770.0,2025-04-28 22:23:42,3.3.2,633585.0,14399.0,37.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4574.0,4574.0,90.0,37,True,1.0,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8179.0,1059.0,1462.0,111.0,1726.0,36079.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,67890.0,67890.0,383.0,33,False,1.0,,,,,,,,,,,,,,,
5,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,1.0,4404.0,593.0,903.0,667.0,2727.0,17193.0,2022-07-18 20:11:48,1.8.1,628835.0,6761.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",423.0,423.0,243.0,32,False,1.0,,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
6,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-06-11 10:20:30,2025-06-10 08:43:23,6616.0,21.0,3920.0,260.0,1904.0,1134.0,4825.0,12566.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1087.0,1087.0,184.0,32,True,1.0,,,,,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-06-11 09:35:14,2025-06-11 00:51:03,33634.0,268.0,1231.0,168.0,16595.0,689.0,5798.0,3596.0,2025-05-16 16:46:31,1.41.0,121759.0,1040.0,76.0,Model-based design and verification for robotics.,,,268.0,32,True,1.0,,,,,,,,,,,,,,,
8,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-06-10 22:26:27,2025-06-10 22:26:27,26445.0,192.0,2268.0,144.0,10780.0,3349.0,4385.0,8302.0,2025-02-25 18:30:10,2409.2,9726.0,206.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,305.0,30,True,3.0,,,,,,1.0,,,,,,,,,
9,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-06-10 22:26:27,2025-06-10 22:26:27,26445.0,192.0,2268.0,144.0,10780.0,3349.0,4385.0,8302.0,2025-02-25 18:30:10,2409.2,9726.0,206.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,305.0,30,True,1.0,,,,,,1.0,,,,,,,,,
10,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-06-10 22:26:27,2025-06-10 22:26:27,26445.0,192.0,2268.0,144.0,10780.0,3349.0,4385.0,8302.0,2025-02-25 18:30:10,2409.2,9726.0,206.0,14.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,305.0,30,True,1.0,,,,,,1.0,,,,,,,,,
11,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-06-11 07:30:58,2025-06-11 07:30:58,539.0,198.0,2256.0,239.0,406.0,106.0,568.0,25248.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,94.0,94.0,51.0,29,True,1.0,,,,,,,,,,,,,,,
12,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-06-09 13:30:37,2025-06-09 13:30:36,12979.0,102.0,988.0,154.0,2465.0,137.0,752.0,4253.0,2025-02-02 15:00:33,14.3.4,3723.0,36.0,81.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,336.0,28,True,2.0,,,,,,,,,,,,,,,
13,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-06-10 23:15:38,2025-05-30 16:28:20,15705.0,9.0,1762.0,73.0,4632.0,221.0,1641.0,3623.0,2025-02-04 12:36:33,R2025a,1649357.0,21145.0,17.0,Webots Robot Simulator.,,,137.0,28,True,1.0,,,,,,-1.0,,,,,,,,,
14,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-06-10 23:15:38,2025-05-30 16:28:20,15705.0,9.0,1762.0,73.0,4632.0,221.0,1641.0,3623.0,2025-02-04 12:36:33,R2025a,1649357.0,21145.0,17.0,Webots Robot Simulator.,,,137.0,28,True,2.0,,,,,,-1.0,,,,,,,,,
15,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,1.0,2864.0,413.0,1920.0,234.0,1790.0,13434.0,2022-04-24 23:54:27,3.25,5564.0,49.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,308.0,27,True,1.0,,,,,,,,,,,,,,,
16,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-06-09 08:59:33,2025-06-08 11:24:23,18191.0,250.0,487.0,114.0,253.0,100.0,220.0,2415.0,2024-07-03 06:11:30,9.0.1,8782.0,175.0,5.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,130.0,27,True,1.0,,,,,,,,,,,,,,,
17,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-05-27 06:15:52,2025-05-27 06:14:49,333.0,22.0,288.0,33.0,102.0,81.0,304.0,2719.0,2025-04-11 21:54:04,0.12.3,,,31.0,Massively parallel rigidbody physics simulation on accelerator hardware.,511.0,511.0,40.0,26,True,2.0,,,,,,,,,,,,,,,
18,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/Jondolf/avian,Apache-2.0,2022-05-29 11:28:38,2025-06-05 09:11:53,2025-06-04 10:41:03,1023.0,48.0,158.0,15.0,412.0,139.0,172.0,2168.0,2025-06-05 09:11:53,0.3.1,,,12.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,327.0,327.0,63.0,26,True,2.0,True,,,,,,,,,,,,,,
19,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-06-11 05:36:06,2025-06-10 22:23:53,1017.0,180.0,1800.0,48.0,674.0,231.0,1202.0,3800.0,2025-04-24 15:13:49,2.1.0,,,14.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,126.0,25,True,2.0,,,,,,,,,,,,,,,
20,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,233.0,20.0,65.0,166.0,75.0,1399.0,,,,138711.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3049.0,3049.0,23.0,25,True,3.0,True,pyrender,https://pypi.org/project/pyrender,138711.0,,,,,,,,,,,
21,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-06-11 09:57:57,2025-06-09 15:53:00,3421.0,101.0,229.0,25.0,143.0,178.0,385.0,850.0,2025-06-09 16:22:06,2.48.0,26039.0,406.0,100.0,a basic OpenSCENARIO player.,,,83.0,25,True,2.0,,,,,,,,,,,,,,,
22,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-06-11 09:07:33,2025-06-11 09:07:32,2197.0,50.0,327.0,113.0,1550.0,11.0,612.0,3367.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,,,
23,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-06-11 09:07:33,2025-06-11 09:07:32,2197.0,50.0,327.0,113.0,1550.0,11.0,612.0,3367.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,,,
