,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-07-02 07:20:15,2025-07-01 22:58:03,75811.0,2635.0,22240.0,1498.0,49722.0,11871.0,45460.0,98521.0,2025-06-25 12:23:19,3.6.1-stable,10750738.0,84651.0,61.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3409.0,45,True,1.0,,,,,,,,,,,,,,
1,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-07-01 19:50:52,2025-07-01 19:27:42,9161.0,475.0,3917.0,299.0,11097.0,2312.0,4689.0,40362.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24708.0,24708.0,1330.0,39,True,2.0,,,,,,,,,,,,,,
2,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-07-02 08:41:55,2025-07-02 08:38:20,2483.0,26.0,1051.0,57.0,871.0,66.0,466.0,9538.0,2025-06-27 08:20:46,1.2.0,,1660583.0,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",19674.0,19674.0,544.0,38,True,1.0,gymnasium,https://pypi.org/project/gymnasium,1660583.0,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-07-01 18:08:10,2025-07-01 18:07:07,3127.0,239.0,1033.0,114.0,311.0,125.0,1573.0,9945.0,2025-06-11 20:16:46,3.3.3,650208.0,14449.0,38.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4612.0,4612.0,91.0,37,True,1.0,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8184.0,1057.0,1463.0,111.0,1726.0,36181.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68000.0,68000.0,383.0,33,False,1.0,,,,,,,,,,,,,,
5,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,1.0,4409.0,593.0,903.0,669.0,2728.0,17270.0,2022-07-18 20:11:48,1.8.1,632228.0,6725.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",425.0,425.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
6,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-07-02 09:00:13,2025-06-26 08:00:24,6618.0,20.0,3952.0,260.0,1920.0,1136.0,4859.0,12659.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1090.0,1090.0,184.0,32,True,1.0,,,,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-07-02 07:46:19,2025-07-01 20:04:31,33695.0,241.0,1229.0,169.0,16645.0,690.0,5812.0,3617.0,2025-06-12 21:19:16,1.42.0,124763.0,1057.0,77.0,Model-based design and verification for robotics.,,,268.0,32,True,1.0,,,,,,,,,,,,,,
8,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-07-02 01:49:26,2025-07-01 20:57:35,26498.0,209.0,2287.0,143.0,10828.0,3290.0,4479.0,8391.0,2025-06-17 17:13:24,2505.0,9852.0,205.0,15.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,308.0,30,True,3.0,,,,,,,,,,,,,,
9,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-07-02 01:49:26,2025-07-01 20:57:35,26498.0,209.0,2287.0,143.0,10828.0,3290.0,4479.0,8391.0,2025-06-17 17:13:24,2505.0,9852.0,205.0,15.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,308.0,30,True,1.0,,,,,,,,,,,,,,
10,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-07-02 01:49:26,2025-07-01 20:57:35,26498.0,209.0,2287.0,143.0,10828.0,3290.0,4479.0,8391.0,2025-06-17 17:13:24,2505.0,9852.0,205.0,15.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,308.0,30,True,1.0,,,,,,,,,,,,,,
11,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-07-01 23:16:02,2025-06-26 06:00:38,15709.0,12.0,1771.0,73.0,4641.0,223.0,1642.0,3645.0,2025-02-04 12:36:33,R2025a,1660503.0,21019.0,17.0,Webots Robot Simulator.,,,137.0,29,True,1.0,,,,,,,,,,,,,,
12,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-07-01 23:16:02,2025-06-26 06:00:38,15709.0,12.0,1771.0,73.0,4641.0,223.0,1642.0,3645.0,2025-02-04 12:36:33,R2025a,1660503.0,21019.0,17.0,Webots Robot Simulator.,,,137.0,29,True,2.0,,,,,,,,,,,,,,
13,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-06-29 23:53:01,2025-06-29 23:53:01,13009.0,119.0,991.0,152.0,2482.0,139.0,758.0,4269.0,2025-02-02 15:00:33,14.3.4,3725.0,36.0,81.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,336.0,28,True,2.0,,,,,,,,,,,,,,
14,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-07-02 10:19:09,2025-07-02 10:18:58,18244.0,233.0,493.0,114.0,255.0,101.0,221.0,2440.0,2025-06-28 16:26:10,8.1.0,8807.0,172.0,6.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,130.0,28,True,1.0,,,,,1.0,,,,,,,,,
15,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-07-02 08:28:29,2025-07-02 08:28:29,577.0,162.0,2280.0,235.0,448.0,106.0,592.0,25427.0,2025-01-08 13:38:00,0.2.1,,,1.0,A generative world for general-purpose robotics & embodied AI learning.,95.0,95.0,57.0,27,True,1.0,,,,,-1.0,,,,,,,,,
