,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,trending,pypi_id,pypi_url,new_addition,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-08-19 15:32:01,2025-08-19 15:29:47,76544.0,1962.0,22517.0,1496.0,50570.0,12091.0,45992.0,100416.0,2025-06-25 12:23:19,3.6.1-stable,11565065.0,90352.0,61.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3449.0,45,True,1.0,,,,,,,,,,,,,,,
1,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-08-20 05:36:55,2025-08-20 05:13:01,9586.0,753.0,4003.0,303.0,11601.0,2376.0,4822.0,41142.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24849.0,24849.0,1368.0,39,True,2.0,,,,,,,,,,,,,,,
2,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-08-19 23:02:26,2025-08-19 23:01:28,3329.0,309.0,1086.0,116.0,333.0,121.0,1615.0,10403.0,2025-08-08 23:02:07,3.3.5,687604.0,14947.0,40.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4686.0,4686.0,92.0,37,True,1.0,,,,,,,,,,,,,,,
3,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8188.0,1056.0,1464.0,112.0,1726.0,36406.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68164.0,68164.0,383.0,33,False,1.0,,,,,,,,,,,,,,,
4,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4438.0,593.0,907.0,674.0,2730.0,17418.0,2022-07-18 20:11:48,1.8.1,641664.0,6754.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",427.0,427.0,243.0,32,False,1.0,https://microsoft.github.io/AirSim/,1.0,,,,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-08-20 10:13:51,2025-08-20 09:26:59,6629.0,21.0,4025.0,262.0,1988.0,1132.0,4930.0,12904.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1092.0,1092.0,184.0,32,True,1.0,,,,,,,,,,,,,,,
6,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-08-18 21:53:21,2025-08-18 21:49:26,2496.0,27.0,1088.0,60.0,886.0,68.0,470.0,9940.0,2025-06-27 08:20:46,1.2.0,,,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",19986.0,19986.0,549.0,32,True,1.0,,,gymnasium,https://pypi.org/project/gymnasium,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-08-20 09:54:01,2025-08-19 23:13:55,33818.0,221.0,1240.0,170.0,16751.0,686.0,5850.0,3673.0,2025-08-15 15:02:11,1.44.0,129472.0,1088.0,79.0,Model-based design and verification for robotics.,,,269.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-08-20 05:16:27,2025-08-20 05:16:26,690.0,180.0,2449.0,238.0,598.0,120.0,661.0,27083.0,2025-08-16 19:06:37,0.3.1,,,3.0,A generative world for general-purpose robotics & embodied AI learning.,96.0,96.0,63.0,29,True,1.0,,,,,,,,,,,,,,,
9,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-08-19 15:04:32,2025-08-19 15:04:32,26581.0,187.0,2303.0,143.0,10913.0,3296.0,4501.0,8475.0,2025-07-22 17:21:09,2505.1,10085.0,205.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,2.0,,-1.0,,,,,,,,,,,,,
