,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-08-27 00:02:30,2025-08-27 00:01:13,76665.0,1877.0,22546.0,1496.0,50687.0,12105.0,46078.0,100621.0,2025-06-25 12:23:19,3.6.1-stable,11683457.0,91277.0,61.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3451.0,45,True,1.0,,,,,,,,,,,,,,,
1,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-08-27 00:10:03,2025-08-26 23:46:28,9638.0,719.0,4013.0,303.0,11674.0,2389.0,4841.0,41226.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24856.0,24856.0,1371.0,39,True,2.0,,,,,,,,,,,,,,,
2,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-08-18 21:53:21,2025-08-18 21:49:26,2496.0,26.0,1094.0,60.0,887.0,70.0,470.0,9977.0,2025-06-27 08:20:46,1.2.0,,3913163.0,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",20022.0,20022.0,549.0,39,True,1.0,gymnasium,https://pypi.org/project/gymnasium,3913163.0,7.0,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-08-26 18:01:16,2025-08-26 18:00:39,3352.0,308.0,1090.0,116.0,335.0,123.0,1617.0,10461.0,2025-08-08 23:02:07,3.3.5,694100.0,15089.0,40.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4701.0,4701.0,93.0,37,True,1.0,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8192.0,1055.0,1465.0,112.0,1726.0,36416.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68182.0,68182.0,383.0,33,False,1.0,,,,,,,,,,,,,,,
5,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4441.0,593.0,907.0,674.0,2730.0,17438.0,2022-07-18 20:11:48,1.8.1,643083.0,6769.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",427.0,427.0,243.0,32,False,1.0,,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
6,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-08-27 06:50:43,2025-08-27 06:50:30,6635.0,26.0,4038.0,262.0,2008.0,1117.0,4954.0,12929.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1093.0,1093.0,184.0,32,True,1.0,,,,,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-08-27 08:54:01,2025-08-26 23:57:47,33842.0,240.0,1241.0,170.0,16782.0,681.0,5861.0,3684.0,2025-08-15 15:02:11,1.44.0,130012.0,1092.0,79.0,Model-based design and verification for robotics.,,,269.0,32,True,1.0,,,,,,,,,,,,,,,
8,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-08-26 12:36:12,2025-08-26 12:36:12,9725.0,135.0,427.0,64.0,1353.0,93.0,1056.0,2639.0,2025-05-21 12:58:04,3.7.0,77025.0,123921.0,87.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,98.0,30,True,1.0,pin,https://pypi.org/project/pin,123300.0,3.0,,,,,,,,,,,
9,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-08-27 06:58:21,2025-08-27 06:58:21,702.0,185.0,2454.0,239.0,612.0,126.0,670.0,27136.0,2025-08-16 19:06:37,0.3.1,,,3.0,A generative world for general-purpose robotics & embodied AI learning.,96.0,96.0,63.0,29,True,1.0,,,,,,,,,,,,,,,
10,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-08-26 21:59:22,2025-08-26 21:59:22,26586.0,171.0,2306.0,143.0,10925.0,3299.0,4501.0,8486.0,2025-07-22 17:21:09,2505.1,10101.0,206.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,2.0,,,,,,,,,,,,,,,
11,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-08-26 21:59:22,2025-08-26 21:59:22,26586.0,171.0,2306.0,143.0,10925.0,3299.0,4501.0,8486.0,2025-07-22 17:21:09,2505.1,10101.0,206.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,1.0,,,,,,,,,,,,,,,
12,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-08-26 21:59:22,2025-08-26 21:59:22,26586.0,171.0,2306.0,143.0,10925.0,3299.0,4501.0,8486.0,2025-07-22 17:21:09,2505.1,10101.0,206.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,1.0,,,,,,,,,,,,,,,
