,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,new_addition,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-09-17 01:30:12,2025-09-17 01:29:02,76838.0,1236.0,22685.0,1501.0,50992.0,12247.0,46225.0,101302.0,2025-09-15 20:33:46,4.5-stable,12331219.0,95590.0,62.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3460.0,44,True,1.0,-1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-09-15 12:49:05,2025-09-12 16:49:30,2505.0,26.0,1124.0,59.0,897.0,70.0,474.0,10147.0,2025-06-27 08:20:46,1.2.0,,5506436.0,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",20152.0,20152.0,551.0,40,True,1.0,,gymnasium,https://pypi.org/project/gymnasium,5506436.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-09-16 23:43:19,2025-09-16 23:21:03,9797.0,744.0,4055.0,306.0,11878.0,2426.0,4908.0,41952.0,2025-06-03 20:02:48,0.16.1,,,44.0,A refreshingly simple data-driven game engine built in Rust.,24899.0,24899.0,1387.0,39,True,2.0,,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-09-16 20:04:06,2025-09-16 20:02:59,3397.0,314.0,1108.0,120.0,339.0,119.0,1628.0,10640.0,2025-09-16 14:28:40,3.3.6,720393.0,15327.0,41.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4731.0,4731.0,94.0,38,True,1.0,,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8195.0,1055.0,1466.0,114.0,1726.0,36524.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68263.0,68263.0,384.0,33,False,1.0,,,,,,,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-09-17 09:24:49,2025-09-16 16:10:50,6639.0,23.0,4077.0,262.0,2048.0,1128.0,4976.0,13026.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1095.0,1095.0,185.0,33,True,1.0,1.0,,,,,,,,,,,,,,,
6,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-09-17 07:14:24,2025-09-16 18:04:12,33931.0,272.0,1242.0,170.0,16870.0,680.0,5880.0,3709.0,2025-09-16 18:42:03,1.45.0,135972.0,1133.0,80.0,Model-based design and verification for robotics.,,,270.0,33,True,1.0,,,,,,,,,,,,,,,,
7,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4449.0,593.0,908.0,675.0,2730.0,17516.0,2022-07-18 20:11:48,1.8.1,647432.0,6744.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",430.0,430.0,243.0,32,False,1.0,,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-09-16 21:23:33,2025-09-16 21:23:32,755.0,203.0,2476.0,239.0,675.0,123.0,699.0,27249.0,2025-09-01 18:03:09,0.3.3,,,5.0,A generative world for general-purpose robotics & embodied AI learning.,97.0,97.0,67.0,30,True,1.0,,,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-09-17 10:09:10,2025-09-17 10:09:10,9759.0,130.0,425.0,65.0,1360.0,93.0,1061.0,2695.0,2025-05-21 12:58:04,3.7.0,77588.0,174215.0,87.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,98.0,30,True,1.0,,pin,https://pypi.org/project/pin,173595.0,,,,,,,,,,,,
