,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-10-01 09:14:44,2025-10-01 01:10:49,77344.0,1479.0,22810.0,1505.0,51268.0,12311.0,46381.0,101707.0,2025-09-15 20:33:46,4.5-stable,12752009.0,98092.0,62.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3485.0,44,True,1.0,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-09-30 00:00:43,2025-09-22 20:43:17,2508.0,23.0,1144.0,59.0,900.0,71.0,476.0,10269.0,2025-09-23 08:21:58,1.2.1,,4556887.0,17.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",20227.0,20227.0,552.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,4556887.0,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-10-01 05:35:41,2025-10-01 00:10:54,9887.0,710.0,4096.0,306.0,12002.0,2457.0,4959.0,42444.0,2025-10-01 05:35:41,0.17.1,,,47.0,A refreshingly simple data-driven game engine built in Rust.,24928.0,24928.0,1394.0,39,True,2.0,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-10-01 09:47:21,2025-10-01 09:46:45,3463.0,315.0,1124.0,119.0,349.0,123.0,1631.0,10737.0,2025-09-16 14:28:40,3.3.6,743549.0,15490.0,41.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4750.0,4750.0,95.0,38,True,1.0,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8206.0,1053.0,1467.0,114.0,1726.0,36606.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68305.0,68305.0,384.0,33,False,1.0,,,,,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-10-01 10:19:34,2025-10-01 07:00:09,6641.0,22.0,4093.0,263.0,2068.0,1120.0,4998.0,13078.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1095.0,1095.0,185.0,33,True,1.0,,,,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4452.0,592.0,908.0,677.0,2730.0,17557.0,2022-07-18 20:11:48,1.8.1,650470.0,6705.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",430.0,430.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-10-01 08:24:57,2025-09-30 23:55:14,33985.0,288.0,1242.0,170.0,16928.0,681.0,5889.0,3726.0,2025-09-16 18:42:03,1.45.0,123749.0,1022.0,80.0,Model-based design and verification for robotics.,,,270.0,32,True,1.0,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-09-30 08:33:08,2025-09-30 08:33:07,785.0,205.0,2489.0,237.0,708.0,104.0,733.0,27326.0,2025-09-01 18:03:09,0.3.3,,,5.0,A generative world for general-purpose robotics & embodied AI learning.,97.0,97.0,68.0,30,True,1.0,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-10-01 08:37:07,2025-10-01 08:32:06,9784.0,132.0,428.0,64.0,1366.0,93.0,1065.0,2742.0,2025-09-17 20:45:34,3.8.0,78122.0,243919.0,88.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,99.0,30,True,1.0,pin,https://pypi.org/project/pin,243299.0,,,,,,,,,,,
