,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,trending,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-12-10 07:00:59,2025-12-10 06:58:05,79751.0,2778.0,23306.0,1493.0,52816.0,12622.0,47229.0,103971.0,2025-10-23 10:28:05,3.6.2-stable,13510717.0,102353.0,64.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3616.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-12-09 10:17:01,2025-12-09 10:12:48,2527.0,24.0,1206.0,60.0,922.0,75.0,481.0,10847.0,2025-11-04 15:20:27,1.2.2,,5390092.0,18.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",20805.0,20805.0,561.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,5390092.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-12-10 07:51:33,2025-12-10 07:26:40,10241.0,505.0,4213.0,304.0,12489.0,2542.0,5109.0,43426.0,2025-11-17 21:25:37,0.17.3,,,49.0,A refreshingly simple data-driven game engine built in Rust.,25154.0,25154.0,1444.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-12-09 18:37:22,2025-12-09 18:36:10,3828.0,437.0,1221.0,119.0,383.0,130.0,1649.0,11350.0,2025-12-05 23:17:44,3.4.0,831550.0,16631.0,43.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5020.0,5020.0,99.0,38,True,1.0,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8218.0,1046.0,1467.0,111.0,1726.0,36854.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68777.0,68777.0,384.0,33,False,1.0,,,,,,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-12-10 09:09:49,2025-12-04 14:55:40,6678.0,41.0,4201.0,261.0,2128.0,1108.0,5088.0,13374.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1102.0,1102.0,191.0,33,True,1.0,,,,,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4475.0,579.0,909.0,678.0,2731.0,17758.0,2022-07-18 20:11:48,1.8.1,664152.0,6708.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",432.0,432.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-12-10 08:56:21,2025-12-09 21:06:00,34277.0,356.0,1256.0,167.0,17234.0,686.0,5957.0,3828.0,2025-11-17 21:39:22,1.47.0,93112.0,757.0,82.0,Model-based design and verification for robotics.,,,273.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-12-10 07:42:37,2025-12-10 07:42:37,956.0,208.0,2546.0,232.0,915.0,117.0,796.0,27772.0,2025-12-04 17:09:02,0.3.8,,,10.0,A generative world for general-purpose robotics & embodied AI learning.,101.0,101.0,74.0,30,True,1.0,,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-12-08 14:43:49,2025-12-08 14:43:41,9875.0,135.0,450.0,66.0,1397.0,91.0,1080.0,2935.0,2025-09-17 20:45:34,3.8.0,81253.0,377662.0,88.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,101.0,30,True,1.0,pin,https://pypi.org/project/pin,377028.0,,,,,,,,,,,,
10,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-12-09 17:48:39,2025-12-05 19:57:11,26687.0,71.0,2361.0,144.0,11030.0,3369.0,4518.0,8841.0,2025-12-09 17:48:39,2510.1,10840.0,204.0,18.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,322.0,29,True,2.0,,,,,,,,,,,,,,,
11,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-12-09 17:48:39,2025-12-05 19:57:11,26687.0,71.0,2361.0,144.0,11030.0,3369.0,4518.0,8841.0,2025-12-09 17:48:39,2510.1,10840.0,204.0,18.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,322.0,29,True,1.0,,,,,,,,,,,,,,,
12,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-12-09 17:48:39,2025-12-05 19:57:11,26687.0,71.0,2361.0,144.0,11030.0,3369.0,4518.0,8841.0,2025-12-09 17:48:39,2510.1,10840.0,204.0,18.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,322.0,29,True,1.0,,,,,,,,,,,,,,,
13,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-12-09 22:07:46,2025-12-09 22:07:46,13124.0,73.0,1010.0,151.0,2553.0,144.0,783.0,4434.0,2025-09-05 16:27:31,14.4.1,3738.0,34.0,83.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,340.0,28,True,2.0,,,,,,,,,,,,,,,
14,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-10-22 02:13:14,2025-10-22 02:13:14,9405.0,1.0,2929.0,403.0,1935.0,251.0,1792.0,14041.0,2022-04-24 23:54:27,3.25,5576.0,46.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,1.0,,,,,,,,,,,,,,,
15,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-12-10 06:49:31,2025-12-10 05:39:40,1461.0,110.0,2691.0,58.0,1271.0,288.0,1794.0,5700.0,2025-12-04 22:26:35,2.3.1,,,19.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,181.0,27,True,1.0,,,,,,,,,,,,,,,
16,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-12-09 14:55:40,2025-12-09 11:30:29,18698.0,264.0,526.0,111.0,301.0,65.0,277.0,2633.0,2025-06-28 16:26:10,8.1.0,9027.0,161.0,6.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,135.0,27,True,1.0,,,,,,,,,,,,,,,
17,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/avianphysics/avian,Apache-2.0,2022-05-29 11:28:38,2025-11-30 11:36:50,2025-11-26 19:48:52,1111.0,45.0,199.0,15.0,515.0,143.0,214.0,2628.0,2025-11-01 14:21:44,0.4.1,,,14.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,353.0,353.0,71.0,27,True,1.0,,,,,avianphysics/avian,,,,,,,,,,
18,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-12-09 23:28:35,2025-11-27 17:32:29,15730.0,2.0,1846.0,71.0,4667.0,239.0,1655.0,3942.0,2025-02-04 12:36:33,R2025a,1771498.0,21089.0,17.0,Webots Robot Simulator.,,,141.0,26,True,1.0,,,,,,,,,,,,,,,
19,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-12-09 23:28:35,2025-11-27 17:32:29,15730.0,2.0,1846.0,71.0,4667.0,239.0,1655.0,3942.0,2025-02-04 12:36:33,R2025a,1771500.0,21089.0,17.0,Webots Robot Simulator.,,,141.0,26,True,2.0,,,,,,,,,,,,,,,
20,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-12-09 15:28:15,2025-12-09 15:27:35,376.0,20.0,313.0,31.0,111.0,90.0,316.0,2971.0,2025-08-15 18:50:11,0.13.0,,,34.0,Massively parallel rigidbody physics simulation on accelerator hardware.,546.0,546.0,49.0,26,True,2.0,,,,,,,,,,,,,,,
21,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,244.0,19.0,65.0,167.0,75.0,1445.0,,,,481723.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3108.0,3108.0,23.0,26,True,2.0,pyrender,https://pypi.org/project/pyrender,481723.0,,,,,,,,,,,,
22,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2025-10-18 14:17:22,2025-10-18 14:12:50,1415.0,1.0,794.0,27.0,116.0,75.0,407.0,3103.0,2025-10-18 14:15:47,1.10.2,,16191.0,17.0,A minimalist environment for decision-making in autonomous driving.,,,46.0,25,True,1.0,highway-env,https://pypi.org/project/highway-env,16191.0,,,,,,,,,,,,
23,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-11-04 06:09:29,2025-05-29 18:14:02,7768.0,,258.0,62.0,598.0,274.0,374.0,1596.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,387.0,387.0,51.0,25,True,2.0,,,,,,,,,,,,,,,
