,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-04-28 14:14:26,2026-04-28 14:02:56,83389.0,2305.0,24633.0,1512.0,55828.0,13184.0,48846.0,110101.0,2026-04-01 19:12:33,4.6.2-stable,14588684.0,107269.0,68.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3780.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-04-29 11:25:58,2026-04-29 11:22:56,2577.0,33.0,1325.0,64.0,987.0,75.0,493.0,11802.0,2026-04-22 13:46:23,1.3.0,,5981068.0,20.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",22176.0,22176.0,579.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,5981068.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-04-29 04:28:54,2026-04-29 03:58:16,11315.0,695.0,4479.0,309.0,13812.0,2695.0,5508.0,45799.0,2026-03-02 01:24:58,0.18.1,,,53.0,A refreshingly simple data-driven game engine built in Rust.,25767.0,25767.0,1550.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-04-29 10:42:38,2026-04-29 10:42:07,4580.0,548.0,1463.0,125.0,530.0,153.0,1688.0,13290.0,2026-04-24 23:03:38,3.8.0,986221.0,18263.0,47.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5354.0,5354.0,113.0,38,True,1.0,,,,,,,,,,,,,,,
4,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-04-29 03:43:34,2026-04-24 06:52:42,6709.0,28.0,4399.0,262.0,2230.0,1138.0,5156.0,13898.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1113.0,1113.0,198.0,32,True,1.0,,,,,,,,,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-04-29 10:19:51,2026-04-29 02:10:16,34743.0,365.0,1286.0,168.0,17700.0,672.0,6083.0,4010.0,2026-04-17 17:24:45,1.52.1,55713.0,438.0,89.0,Model-based design and verification for robotics.,,,276.0,32,True,1.0,,,,,,,,,,,,,,,
6,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-04-20 09:29:23,2026-04-20 09:29:14,13075.0,682.0,496.0,66.0,1432.0,90.0,1093.0,3309.0,2026-04-13 12:17:49,4.0.0,105556.0,494643.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,117.0,32,True,1.0,pin,https://pypi.org/project/pin,493844.0,,,,,,,,,,,,
7,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2026-04-26 08:35:59,2026-04-26 08:35:58,1361.0,258.0,2645.0,222.0,1437.0,102.0,904.0,28590.0,2026-04-11 19:36:55,0.4.6,,,23.0,A generative world for general-purpose robotics & embodied AI learning.,112.0,112.0,88.0,31,True,1.0,,,,,,,,,,,,,,,
8,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-04-25 18:49:52,2026-04-25 18:49:52,26796.0,65.0,2442.0,147.0,11224.0,3413.0,4560.0,9069.0,2026-01-27 17:16:49,2510.2,11491.0,201.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,328.0,29,True,2.0,,,,,,,,,,,,,,,
9,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-04-25 18:49:52,2026-04-25 18:49:52,26796.0,65.0,2442.0,147.0,11224.0,3413.0,4560.0,9069.0,2026-01-27 17:16:49,2510.2,11491.0,201.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,328.0,29,True,1.0,,,,,,,,,,,,,,,
