,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-06-02 22:42:27,2026-06-02 22:39:09,83959.0,1892.0,25009.0,1518.0,56371.0,13225.0,49167.0,111998.0,2026-05-20 20:49:16,4.6.3-stable,14985890.0,108593.0,69.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3809.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-06-03 11:23:49,2026-06-03 11:20:46,2586.0,30.0,1351.0,64.0,998.0,77.0,495.0,11994.0,2026-04-22 13:46:23,1.3.0,,6016441.0,20.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",22544.0,22544.0,582.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,6016441.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-06-02 23:26:09,2026-06-02 22:54:30,11564.0,689.0,4562.0,311.0,14149.0,2724.0,5621.0,46419.0,2026-03-02 01:24:58,0.18.1,,,55.0,A refreshingly simple data-driven game engine built in Rust.,25857.0,25857.0,1582.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-06-03 14:12:55,2026-06-03 14:12:04,4814.0,534.0,1530.0,129.0,572.0,160.0,1694.0,13733.0,2026-05-27 14:46:14,3.9.0,1047803.0,18710.0,49.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5448.0,5448.0,116.0,38,True,1.0,,,,,,,,,,,,,,,
4,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-06-03 13:38:46,2026-06-02 07:52:02,6728.0,45.0,4438.0,262.0,2265.0,1144.0,5177.0,14026.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1119.0,1119.0,202.0,33,True,1.0,,,,1.0,,,,,,,,,,,
5,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-06-01 11:33:54,2026-06-01 11:33:54,13093.0,419.0,501.0,67.0,1446.0,91.0,1099.0,3436.0,2026-04-13 12:17:49,4.0.0,110086.0,825400.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,117.0,33,True,1.0,pin,https://pypi.org/project/pin,824579.0,,,,,,,,,,,,
6,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-06-03 14:27:08,2026-06-03 14:16:36,34845.0,332.0,1297.0,168.0,17806.0,670.0,6109.0,4065.0,2026-05-15 14:53:47,1.53.0,80838.0,626.0,90.0,Model-based design and verification for robotics.,,,278.0,32,True,1.0,,,,,,,,,,,,,,,
7,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,Apache-2.0,2023-10-31 03:33:11,2026-06-02 21:20:18,2026-06-02 21:20:18,1447.0,231.0,2733.0,224.0,1554.0,104.0,919.0,29198.0,2026-05-27 15:37:56,1.0.0,,,25.0,Simulation platform for general-purpose robotics & embodied AI learning.,117.0,117.0,89.0,31,True,1.0,,,,,Genesis-Embodied-AI/genesis-world,,,,,,,,,,
8,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4535.0,573.0,914.0,681.0,2729.0,18217.0,2022-07-18 20:11:48,1.8.1,696130.0,6629.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",443.0,443.0,244.0,31,False,1.0,,,,-1.0,,https://microsoft.github.io/AirSim/,,,,,,,,,
9,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-06-02 15:55:26,2026-06-02 15:55:26,26841.0,80.0,2473.0,150.0,11279.0,3418.0,4589.0,9284.0,2026-05-27 17:01:43,2605.0,11879.0,201.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,332.0,30,True,2.0,,,,,,,,,,,,,,,
10,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-06-02 15:55:26,2026-06-02 15:55:26,26841.0,80.0,2473.0,150.0,11279.0,3418.0,4589.0,9284.0,2026-05-27 17:01:43,2605.0,11879.0,201.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,332.0,30,True,1.0,,,,,,,,,,,,,,,
11,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-06-02 15:55:26,2026-06-02 15:55:26,26841.0,80.0,2473.0,150.0,11279.0,3418.0,4589.0,9284.0,2026-05-27 17:01:43,2605.0,11879.0,201.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,332.0,30,True,1.0,,,,,,,,,,,,,,,
12,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2026-06-01 15:47:08,2026-06-01 15:47:08,13316.0,71.0,1010.0,151.0,2662.0,148.0,808.0,4587.0,2026-01-31 18:14:28,14.5.2,3745.0,32.0,86.0,"high-performance rendering backend (C++, Python, C#, Java).",,,342.0,28,True,2.0,,,,,,,,,,,,,,,
13,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2026-06-03 09:30:26,2026-06-02 16:48:02,19550.0,351.0,578.0,110.0,359.0,13.0,363.0,2866.0,2026-04-07 12:38:32,10.0.0,9256.0,149.0,7.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,147.0,28,True,1.0,,,,,,,,,,,,,,,
14,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2026-03-26 23:13:27,2026-03-26 23:13:24,1758.0,1.0,8207.0,1039.0,1468.0,113.0,1726.0,37207.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,21.0,21.0,385.0,27,False,1.0,,,,-1.0,,,,,,,,,,,
15,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-10-22 02:13:14,2025-10-22 02:13:14,9405.0,,2979.0,402.0,1945.0,262.0,1793.0,14516.0,2022-04-24 23:54:27,3.25,5593.0,44.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,2.0,,,,,,,,,,,,,,,
16,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-06-02 23:43:34,2026-05-04 13:30:21,15746.0,7.0,1943.0,76.0,4701.0,230.0,1675.0,4386.0,2025-02-04 12:36:33,R2025a,1872490.0,20805.0,17.0,Webots Robot Simulator.,,,143.0,27,True,1.0,,,,,,,,,,,,,,,
17,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-06-02 23:43:34,2026-05-04 13:30:21,15746.0,7.0,1943.0,76.0,4701.0,230.0,1675.0,4386.0,2025-02-04 12:36:33,R2025a,1872490.0,20805.0,17.0,Webots Robot Simulator.,,,143.0,27,True,2.0,,,,,,,,,,,,,,,
18,mjlab,mujocolab/mjlab,,ml,https://github.com/mujocolab/mjlab,https://github.com/mujocolab/mjlab,Apache-2,2025-06-10 02:34:09,2026-06-03 10:15:52,2026-06-01 22:22:44,1034.0,177.0,373.0,22.0,672.0,22.0,264.0,2430.0,2026-05-26 22:52:20,1.4.0,,56932.0,7.0,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.",,,47.0,27,True,1.0,mjlab,https://pypi.org/project/mjlab,56932.0,-1.0,,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,,,,,
19,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2026-06-03 11:59:07,2026-06-02 22:23:56,1573.0,18.0,3490.0,63.0,2535.0,384.0,2071.0,7343.0,2026-03-17 06:38:37,3.0.0-beta,,,21.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,203.0,26,True,2.0,,,,,,,,,,,,,,,
20,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2026-05-29 23:15:01,2026-05-29 23:15:01,1436.0,18.0,836.0,26.0,129.0,36.0,448.0,3267.0,2026-05-10 20:13:18,1.11,,11858.0,18.0,A minimalist environment for decision-making in autonomous driving.,,,52.0,26,True,1.0,highway-env,https://pypi.org/project/highway-env,11858.0,,,,,,,,,,,,
21,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2026-05-18 17:20:19,2026-05-18 17:19:55,411.0,11.0,336.0,32.0,122.0,93.0,321.0,3177.0,2026-03-15 22:31:45,0.14.2,,,37.0,Massively parallel rigidbody physics simulation on accelerator hardware.,577.0,577.0,54.0,26,True,2.0,,,,,,,,,,,,,,,
22,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/avianphysics/avian,Apache-2.0,2022-05-29 11:28:38,2026-06-02 20:09:09,2026-05-31 13:45:58,1148.0,18.0,247.0,14.0,564.0,159.0,228.0,2978.0,2026-03-23 01:54:21,0.6.1,,,18.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,377.0,377.0,85.0,26,True,2.0,,,,,avianphysics/avian,,,,,,,,,,
23,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,248.0,19.0,66.0,167.0,75.0,1466.0,,,,482686.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3179.0,3179.0,23.0,26,True,3.0,pyrender,https://pypi.org/project/pyrender,482686.0,,,,,,,,,,,,
24,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2026-06-02 10:12:59,2026-06-02 10:11:39,478.0,16.0,130.0,15.0,228.0,9.0,77.0,918.0,2026-01-02 21:49:36,1.4.2,,41569.0,15.0,A collection of robotics simulation environments for reinforcement learning.,342.0,342.0,39.0,26,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,41569.0,,,,,,,,,,,,
25,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2026-06-03 12:37:51,2026-06-03 11:48:16,1969.0,504.0,544.0,39.0,1707.0,186.0,1046.0,5016.0,2026-05-12 19:08:56,1.2.0,40.0,20.0,3.0,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,70.0,25,True,2.0,,,,-1.0,,,,,,,,,,,
26,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2026-05-31 20:17:24,2026-05-31 20:17:24,6054.0,48.0,564.0,59.0,500.0,43.0,331.0,2088.0,2026-05-17 14:43:43,1.3.1,37494.0,506.0,23.0,An open source flight dynamics & control software library.,,,75.0,25,True,2.0,,,,,,,,,,,,,,,
27,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2026-06-03 14:34:47,2026-06-03 14:31:58,6940.0,311.0,292.0,51.0,2108.0,,694.0,1095.0,2026-05-31 20:54:59,6.16.8,,,70.0,"Research-focused C++20 physics engine for robotics, animation, and machine learning, with Python bindings.",9.0,9.0,76.0,25,True,2.0,,,,1.0,,,,,,,,,,,
28,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2026-06-02 19:05:18,2026-06-02 18:48:49,3859.0,128.0,254.0,28.0,190.0,198.0,427.0,916.0,2026-06-02 19:18:23,3.2.0,31306.0,396.0,83.0,a basic OpenSCENARIO player.,,,92.0,25,True,2.0,,,,,,,,,,,,,,,
29,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-05-26 11:35:08,2026-05-26 11:35:08,2480.0,53.0,354.0,111.0,1859.0,21.0,702.0,3720.0,2026-05-17 12:10:26,1.4.352,,,100.0,Open-Source Vulkan C++ API.,,,103.0,24,True,3.0,,,,,,,,,,,,,,,
30,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-05-26 11:35:08,2026-05-26 11:35:08,2480.0,53.0,354.0,111.0,1859.0,21.0,702.0,3720.0,2026-05-17 12:10:26,1.4.352,,,100.0,Open-Source Vulkan C++ API.,,,103.0,24,True,3.0,,,,,,,,,,,,,,,
31,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2026-05-07 22:21:06,2026-05-07 22:21:03,1664.0,2.0,521.0,79.0,1770.0,208.0,639.0,3697.0,2026-02-12 23:56:33,0.3.3,,,27.0,"A flexible, high-performance 3D simulator for Embodied AI research.",75.0,75.0,63.0,24,True,2.0,,,,,,,,,,,,,,,
