,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-07-01 12:31:16,2026-06-30 19:49:58,84605.0,1800.0,25279.0,1517.0,56840.0,13320.0,49423.0,113422.0,2026-06-18 12:06:17,4.7-stable,15450729.0,111156.0,70.0,Godot Engine Multi-platform 2D and 3D game engine.,24.0,24.0,3845.0,44,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-06-30 12:33:03,2026-06-28 09:41:56,2594.0,33.0,1368.0,65.0,1008.0,68.0,513.0,12108.0,2026-04-22 13:46:23,1.3.0,,10793003.0,20.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",22795.0,22795.0,585.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,10793003.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-07-01 01:00:06,2026-07-01 00:26:29,11690.0,603.0,4614.0,314.0,14336.0,2773.0,5679.0,46953.0,2026-06-18 01:25:13,0.19.0,,,57.0,A refreshingly simple data-driven game engine built in Rust.,25961.0,25961.0,1604.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-07-01 10:51:29,2026-07-01 10:50:55,5016.0,580.0,1594.0,131.0,620.0,158.0,1706.0,14051.0,2026-06-22 17:04:32,3.10.0,1106223.0,19407.0,50.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5534.0,5534.0,119.0,38,True,1.0,,,,,,,,,,,,,,,
4,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-06-30 04:56:43,2026-06-29 14:47:59,6746.0,54.0,4465.0,263.0,2284.0,1143.0,5185.0,14120.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1123.0,1123.0,202.0,33,True,1.0,,,,,,,,,,,,,,,
5,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-07-01 06:28:30,2026-06-30 23:15:10,13138.0,192.0,514.0,68.0,1455.0,94.0,1101.0,3531.0,2026-04-13 12:17:49,4.0.0,113066.0,1484361.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,119.0,33,True,1.0,pin,https://pypi.org/project/pin,1483524.0,,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2026-06-30 19:34:07,2026-06-28 02:38:17,3563.0,1.0,4540.0,572.0,915.0,681.0,2729.0,18278.0,2022-07-18 20:11:48,1.8.1,700134.0,6605.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",447.0,447.0,247.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-07-01 12:04:53,2026-06-30 18:12:52,34924.0,298.0,1299.0,168.0,17885.0,665.0,6122.0,4089.0,2026-06-12 17:35:24,1.54.0,109895.0,845.0,91.0,Model-based design and verification for robotics.,,,278.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,Apache-2.0,2023-10-31 03:33:11,2026-06-30 20:59:28,2026-06-30 20:59:28,1506.0,196.0,2768.0,226.0,1638.0,111.0,929.0,29469.0,2026-06-23 09:54:21,1.2.0,,,28.0,Simulation platform for general-purpose robotics & embodied AI learning.,121.0,121.0,92.0,31,True,1.0,,,,,Genesis-Embodied-AI/genesis-world,,,,,,,,,,
9,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,2.0,,,,,,,,,,,,,,,
10,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,1.0,,,,,,,,,,,,,,,
11,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,1.0,,,,,,,,,,,,,,,
