,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,doc_url,labels,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,last_commit_pushed_at,commit_count,closed_issue_count,gitlab_id,gitlab_url
0,Gymnasium,Farama-Foundation/Gymnasium,ml,https://gymnasium.farama.org/,gymnasium,24958.0,23407.0,606.0,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-04-22 13:47:12,32,1319.0,83.0,11770.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",https://pypi.org/project/gymnasium,2026-04-22 13:47:12,2026-04-22 13:47:12,1.3.0,20.0,1551.0,5253728.0,5253728.0,True,1.0,,,,,,,,,,,,,,,
1,Pinocchio,stack-of-tasks/pinocchio,physics,http://stack-of-tasks.github.io/pinocchio/,pin,109.0,,124.0,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-08-01 05:57:50,25,563.0,103.0,3622.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,https://pypi.org/project/pin,2026-07-08 14:11:32,2026-07-08 14:11:32,4.1.0,23.0,109.0,1056595.0,1056595.0,True,1.0,,,,,,,,,,,,,,,
2,PyRender,mmatl/pyrender,render,http://pyrender.readthedocs.io/,pyrender,3274.0,3237.0,23.0,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,25,256.0,189.0,1460.0,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,https://pypi.org/project/pyrender,2021-02-18 18:56:27,2021-02-18 18:56:27,0.1.45,43.0,37.0,797294.0,797294.0,True,1.0,,,,,,,,,,,,,,,
3,Bevy,bevyengine/bevy,game,https://bevy.org/,,26214.0,26214.0,1654.0,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-08-13 00:02:01,24,4758.0,3387.0,47607.0,A refreshingly simple data-driven game engine built in Rust.,,,,,,,,,True,1.0,,,,,,,,,,,,,,,
4,mjlab,mujocolab/mjlab,ml,https://github.com/mujocolab/mjlab,mjlab,12.0,,57.0,https://github.com/mujocolab/mjlab,Apache-2,2026-02-02 20:08:02.695000,2026-08-09 00:25:07,23,480.0,25.0,2776.0,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.",https://pypi.org/project/mjlab,2026-08-09 00:23:40,2026-08-09 00:23:40,1.6.0,19.0,12.0,108351.0,108351.0,True,1.0,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,,,,,,,,,,
5,Metaworld,Farama-Foundation/Metaworld,ml,https://metaworld.farama.org/,metaworld,121.0,114.0,47.0,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2026-06-28 17:11:17,22,345.0,9.0,1837.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,https://pypi.org/project/metaworld,2026-06-28 17:11:07,2026-06-28 17:11:07,3.1.1,5.0,7.0,27492.0,27492.0,True,1.0,,,,,,,,,,,,,,,
6,Godot,godotengine/godot,game,https://godotengine.org/,,24.0,24.0,3925.0,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-08-31 19:55:04,21,26566.0,18823.0,116458.0,Godot Engine Multi-platform 2D and 3D game engine.,,,,,,,,,True,2.0,,[],-24.0,,,,,,,,,,,,
7,mujoco,google-deepmind/mujoco,robotics,https://mujoco.org/,,5792.0,5792.0,137.0,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-08-20 12:00:16,21,1689.0,350.0,14610.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,,,,,,,,,True,1.0,,[],,,,,,,,,,,,,
8,Carla,carla-simulator/carla,auto,https://carla.org/,,1128.0,1128.0,203.0,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-07-26 13:12:35,21,4640.0,1181.0,14226.0,Open-source simulator for autonomous driving research.,,,,,,,,,True,1.0,,[],,,,,,,,,,,,,
9,HighwayEnv,Farama-Foundation/HighwayEnv,others,https://highway-env.farama.org/,highway-env,12.0,,60.0,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2026-08-07 11:59:47,21,885.0,41.0,3299.0,A collection of environments for autonomous driving and tactical decision-making tasks.,https://pypi.org/project/highway-env,2026-08-07 11:59:47,2026-08-07 11:59:47,1.12.1,17.0,12.0,5632.0,5632.0,True,1.0,,,,,,,,,,,,,,,
